Scenario,Comparable $ per Student FY2028,Comparable 3yr Avg $ per Student,"Displaced (#, est)","Enrollment change (2025-2028, est)",Scenario Reversibility (0-1),Distinctiveness (0-1),Composite Score (0-1),Enrollment (as relates to Echo / Pima cohorts) over time (est),,,,,,,,,,,
,,,,,,,,2025,2026,2027,2028,,,,,,,,
F. CoLocation Echo," 9,796 "," 9,749 ", -   , (553),0.8,0.7,0.88,553,,,,,,,,,,,
D. Grow Both," 9,945 "," 9,704 ", -   , (553),0.8,0.8,0.83,553,,,,,,,,,,,
E. StatusQuo With Targets," 9,945 "," 9,704 ", -   , (553),0.9,0.5,0.80,553,,,,,,,,,,,
G. InnovationHub EchoRamp," 9,945 "," 9,899 ", -   , (553),0.8,0.9,0.90,553,,,,,,,,,,,
B. Repurpose Echo Grow Pima," 10,350 "," 10,752 ", 257 , (553),0.6,0.6,0.43,553,,,,,,,,,,,
C. Repurpose Pima Grow Echo," 10,422 "," 10,837 ", 296 , (553),0.6,0.9,0.42,553,,,,,,,,,,,
A. Repurpose Both," 10,516 "," 12,487 ", 553 , (553),0.3,0.2,0.06,553,,,,,,,,,,,
